test,loc,year,environment,genotype,code,rep,plot,maturity_date,height,lodging,oil,protein,yield,seed_weight,seed_quality,protein_plus_oil
Test 1,CLA,2020,CLA - 2020,N18-1674,1,1,3,52,38,3.5,20.58,45.88,41.4414,15.6,2,66.46
Test 1,CLA,2020,CLA - 2020,N18-1674,1,2,39,51,42,3,21.15,44.57,50.6979,15.7,1.5,65.72
Test 1,CLA,2020,CLA - 2020,N18-1674,1,3,53,51,,,,,40.8573,14.8,1.5,
Test 1,CLA,2020,CLA - 2020,N18-1674,1,4,71,,,,,,43.1772,,1.5,
Test 1,CLA,2020,CLA - 2020,N18-1635,2,1,13,,25,3,20.31,44.53,35.9634,16.1,2,64.84
Test 1,CLA,2020,CLA - 2020,N18-1635,2,2,24,54,40,3,20.05,45.57,52.1433,15,2,65.62
Test 1,CLA,2020,CLA - 2020,N18-1635,2,3,59,54,,,,,52.4403,14.7,2,
Test 1,CLA,2020,CLA - 2020,N18-1635,2,4,63,,,,,,38.1282,,2,
Test 1,CLA,2020,CLA - 2020,N18-1641,3,1,5,57,34,3,20.96,44.27,37.7058,14.9,2,65.23
Test 1,CLA,2020,CLA - 2020,N18-1641,3,2,27,53,37,3.5,20.54,44.77,40.0851,15.9,2.5,65.31
Test 1,CLA,2020,CLA - 2020,N18-1641,3,3,49,53,,,,,57.7071,14.7,2,
Test 1,CLA,2020,CLA - 2020,N18-1641,3,4,80,,,,,,53.9022,,2,
Test 1,CLA,2020,CLA - 2020,N18-1595,4,1,11,52,32,2.5,18.87,47.86,58.3605,16.1,2,66.73
Test 1,CLA,2020,CLA - 2020,N18-1595,4,2,34,51,40,2.5,18.66,48.45,45.3915,15.8,2,67.11
Test 1,CLA,2020,CLA - 2020,N18-1595,4,3,57,49,,,,,48.2196,15.5,1.5,
Test 1,CLA,2020,CLA - 2020,N18-1595,4,4,70,,,,,,49.6386,,2,
Test 1,CLA,2020,CLA - 2020,N18-1604,5,1,20,49,35,3.5,20.23,45.48,64.9242,15,2,65.71
Test 1,CLA,2020,CLA - 2020,N18-1604,5,2,38,51,30,3.5,21.47,43.07,42.4314,15.6,2,64.54
Test 1,CLA,2020,CLA - 2020,N18-1604,5,3,43,52,,,,,39.0753,14.8,2,
Test 1,CLA,2020,CLA - 2020,N18-1604,5,4,72,,,,,,39.3327,,2,
Test 1,CLA,2020,CLA - 2020,N18-1632-1,6,1,16,51,40,1.5,20.39,46.5,48.3648,15.4,2,66.89
Test 1,CLA,2020,CLA - 2020,N18-1632-1,6,2,30,53,38,2,19.83,47.77,67.7754,15.5,1.5,67.6
Test 1,CLA,2020,CLA - 2020,N18-1632-1,6,3,52,54,,,,,48.5661,17.5,2,
Test 1,CLA,2020,CLA - 2020,N18-1632-1,6,4,67,,,,,,40.9167,,2,
Test 1,CLA,2020,CLA - 2020,N18-1956,7,1,8,59,32,2.5,18.96,47.29,36.1185,16.8,2.5,66.25
Test 1,CLA,2020,CLA - 2020,N18-1956,7,2,37,57,41,2.5,19.65,46.21,31.6239,14.9,2.5,65.86
Test 1,CLA,2020,CLA - 2020,N18-1956,7,3,58,,,,,,19.965,14.2,3,
Test 1,CLA,2020,CLA - 2020,N18-1956,7,4,78,,,,,,24.7203,,3,
Test 1,CLA,2020,CLA - 2020,N18-1572,8,1,7,51,35,2.5,20.98,45.29,52.8429,16.3,1.5,66.27
Test 1,CLA,2020,CLA - 2020,N18-1572,8,2,25,49,41,2,21.21,45.99,56.463,16.6,1.5,67.2
Test 1,CLA,2020,CLA - 2020,N18-1572,8,3,46,49,,,,,42.4941,16.2,2,
Test 1,CLA,2020,CLA - 2020,N18-1572,8,4,73,,,,,,34.9932,,1.5,
Test 1,CLA,2020,CLA - 2020,N18-1751,9,1,4,52,32,2.5,20.3,44.95,57.1956,17.1,1.5,65.25
Test 1,CLA,2020,CLA - 2020,N18-1751,9,2,40,49,32,2,18.82,46.52,53.2884,15.5,2,65.34
